Source	Target	Type	Value
Q9NWZ3	O00206	Weight	0.9970604060463295
P04629	O14492	Weight	0.7414007016207185
Q16620	O14492	Weight	0.22963082771765447
Q9ULW2	O14640	Weight	1.5079044172237601
P99999	O14727	Weight	0.009836676394485525
O43318	O14733	Weight	1.49899557088206
Q13233	O14733	Weight	0.008029622284279312
Q16584	O14733	Weight	0.03968307040803543
Q99683	O14733	Weight	1.286005249743666
Q9UPT6	O14733	Weight	0.013724012669609579
P50591	O14763	Weight	1.778092900369445
O43318	O14920	Weight	0.2745211575432959
P49116	O14920	Weight	2.09123589578567
Q12933	O14920	Weight	0.42768394543686705
O43318	O15111	Weight	0.007817958027149947
P41279	O15111	Weight	0.5443330773422457
P49116	O15111	Weight	2.046772746595467
Q12933	O15111	Weight	0.04868961585678697
Q13233	O15111	Weight	0.08656871954071164
Q13546	O15111	Weight	0.003288337263865061
Q7Z434	O15111	Weight	0.14229579693289324
Q99558	O15111	Weight	2.9090459337897903
Q9Y243	O15111	Weight	1.1116013894869665
Q9Y6K9	O15111	Weight	1.0757637091164358
O14640	O15169	Weight	-1.7434431222634856
P49841	O15169	Weight	0.057981363364313074
P62070	O15211	Weight	0.019534713158782135
P04637	O15350	Weight	1.9634927809695233
Q96J02	O15519	Weight	-0.00983870183052195
P42336	O15530	Weight	0.8673889903992342
Q12933	O43318	Weight	1.967964387677142
Q15750	O43318	Weight	0.43387747380373703
Q9NYJ8	O43318	Weight	0.010124196611257774
Q9Y4K3	O43318	Weight	0.19312734488130767
Q9H257	O43353	Weight	0.00993477673789873
P28482	O43521	Weight	-0.00983626811271268
P35638	O43521	Weight	0.00985890739723485
Q9Y243	O43524	Weight	-1.9305703511652499
P29350	O43561	Weight	-0.4227764559847154
P43403	O43561	Weight	0.01040944787410084
P43405	O43561	Weight	0.2840384893715356
Q9BZW8	O43561	Weight	0.19361636445523286
P06239	O43914	Weight	0.009836655566240162
P16471	O60674	Weight	1.4076312026335498
P40189	O60674	Weight	1.5181954814442422
P42701	O60674	Weight	1.5340711345674884
P48357	O60674	Weight	1.4835625799311292
P00533	O60716	Weight	-1.762260772610262
P29350	O60716	Weight	0.11347774497193096
Q9BZW8	O60880	Weight	0.021780265610298305
P28482	O75030	Weight	-2.9623349412145035
Q9Y6N7	O75044	Weight	0.013436576130949758
P28482	O75582	Weight	0.7154727007474783
P63000	O75914	Weight	0.5848246182611774
P17612	O95644	Weight	-2.4427148188231853
Q9NQC7	O95786	Weight	-0.010260712482473787
P04629	P00519	Weight	0.40755175312359987
O14944	P00533	Weight	0.02012506273998326
P01133	P00533	Weight	0.6661398377030716
P01135	P00533	Weight	0.022936316082317776
P01308	P00533	Weight	0.619242344773928
P04085	P00533	Weight	0.497833758172714
P07585	P00533	Weight	-4.488192777600861
P12931	P00533	Weight	0.03816113293650361
P15514	P00533	Weight	0.6544100133484145
P21583	P00533	Weight	0.027165279450233403
P35070	P00533	Weight	0.022624481120863568
Q06124	P00533	Weight	-1.6449367522178286
Q99075	P00533	Weight	0.011411365139887468
P17252	P01100	Weight	0.02471654863146276
P17612	P01100	Weight	1.135458942089937
P28482	P01100	Weight	0.00275750730117642
P45984	P01100	Weight	0.6012717117629637
Q16539	P01100	Weight	0.01169607399289268
P28482	P01106	Weight	1.786009865968043
P49715	P01106	Weight	-0.010553469707863203
P49841	P01106	Weight	-1.2133850675401023
P12931	P01112	Weight	0.00794163594054461
P17252	P01112	Weight	0.002356681430008594
P20936	P01112	Weight	-0.80665689121062
P50148	P01112	Weight	0.60348193771088
Q07889	P01112	Weight	0.008684976585860827
Q13671	P01112	Weight	0.0901513183904909
P12931	P01116	Weight	0.524838206636756
Q07889	P01116	Weight	0.48246148906321085
Q8WWW0	P01116	Weight	0.318316965613401
Q14005	P01730	Weight	0.010309502999951084
P12931	P03372	Weight	0.764201565747293
P17612	P03372	Weight	0.2798051873617471
P23443	P03372	Weight	1.0049293601110845
P28482	P03372	Weight	0.1526452869136015
P45983	P03372	Weight	0.7198537973015131
Q16539	P03372	Weight	0.006544865127550484
P01112	P04049	Weight	0.27502136998231574
P01116	P04049	Weight	0.591645413781219
P12931	P04049	Weight	0.9775952655310172
P17252	P04049	Weight	0.07370482291611702
P17612	P04049	Weight	0.07335248640177655
P62070	P04049	Weight	0.19961603721957058
P62834	P04049	Weight	-0.05262983233044811
Q05655	P04049	Weight	1.0626439415744187
Q13153	P04049	Weight	1.0932848131667126
Q9Y243	P04049	Weight	-0.2651446541757749
P00533	P04626	Weight	0.3523512796964789
P01133	P04626	Weight	0.168741889674151
P01135	P04626	Weight	0.5075404612348032
P01138	P04629	Weight	0.3281925490091934
P20783	P04629	Weight	0.047275676056670025
P28482	P04637	Weight	0.8288740679070306
P45983	P04637	Weight	0.6190342410489742
Q00987	P04637	Weight	-1.220463676857647
Q16539	P04637	Weight	0.3160406854859615
Q8N726	P04637	Weight	-0.40960571240375265
Q92793	P04637	Weight	0.6813615461094347
P62136	P05198	Weight	-5.968594790968907
P28482	P05412	Weight	0.642480800246199
P45983	P05412	Weight	1.5345459196070077
Q16539	P05412	Weight	0.004443806341660807
O75326	P05556	Weight	1.064749620736023
P12931	P05556	Weight	0.012953452138439623
P17252	P05556	Weight	0.3945989277731517
P17612	P05556	Weight	0.663112073237879
O14492	P06213	Weight	-0.773193691399811
P01308	P06213	Weight	0.26127463929676237
P05019	P06213	Weight	0.30989735975071797
P10586	P06213	Weight	0.020109581931452087
P21583	P06213	Weight	1.3430168968701457
P01730	P06239	Weight	0.010286821855796395
P06241	P06239	Weight	0.009887533002582282
O60880	P06241	Weight	0.005535330212886201
P11802	P06400	Weight	-4.098837760878396
P62136	P06400	Weight	0.05340215082905322
P09603	P07333	Weight	0.2794028708914125
Q6ZMJ4	P07333	Weight	0.3376649186535264
P28482	P08047	Weight	1.7715815953398983
P01344	P08069	Weight	0.2354390359061971
P05019	P08069	Weight	0.00557687025124774
P12931	P08069	Weight	0.019066128889681105
P21583	P08069	Weight	0.7811366746655594
Q13322	P08069	Weight	-0.24535305476198194
P17612	P08151	Weight	1.7683914000473682
Q9UMX1	P08151	Weight	0.13320358292860818
P12931	P08581	Weight	-0.00349591305789901
P14210	P08581	Weight	1.311620095754867
P22681	P08581	Weight	0.8624901743681482
P02751	P08648	Weight	1.480666824622685
P63096	P09769	Weight	0.00972876665087917
P17612	P10071	Weight	-2.442625376499514
P01112	P10398	Weight	0.7371655374453425
P01116	P10398	Weight	0.6415070523639705
P62070	P10398	Weight	0.36676003433242876
O43521	P10415	Weight	-0.01030551313139557
P04637	P10415	Weight	-0.009859108779889197
P22736	P10415	Weight	-0.009696222173768681
P28482	P10415	Weight	0.009696158162298093
P45983	P10415	Weight	-0.010305575949060836
Q92934	P10415	Weight	-0.009836447872549555
Q9NT99	P10586	Weight	0.4921103900552757
P21583	P10721	Weight	1.09909098063657
P33681	P10747	Weight	0.022769393699764634
P42081	P10747	Weight	0.012071917805945619
P28482	P10828	Weight	1.862451872124214
O15211	P11233	Weight	0.21245380600386282
Q12967	P11233	Weight	1.1980810490110019
P05230	P11362	Weight	0.02590424583990351
P09038	P11362	Weight	0.5323511651466458
Q9GZV9	P11362	Weight	0.2593192480366968
Q9NSA1	P11362	Weight	0.09218494822333434
P24385	P11802	Weight	1.1340067780005034
P42773	P11802	Weight	-2.6551380796761457
P46527	P11802	Weight	-1.7050089430334823
Q8N726	P11802	Weight	-0.2245154449152087
O60716	P12830	Weight	0.8487283031840462
P16234	P12931	Weight	0.06124523214745781
P45983	P12931	Weight	0.2159765639564407
P01583	P14778	Weight	0.5295811991452579
P01584	P14778	Weight	0.9399040548671346
P28482	P14921	Weight	1.7715816674146676
P01112	P15056	Weight	0.41947695201678553
P62834	P15056	Weight	0.8391650554578111
P01579	P15260	Weight	1.2506002707657133
Q16539	P15336	Weight	1.4783953770614149
P35222	P15923	Weight	1.7625968751705805
P02452	P16070	Weight	0.9190907428924768
P02751	P16070	Weight	1.2950063583237725
O75582	P16220	Weight	1.3198991718649842
P17612	P16220	Weight	1.6319494777186747
P04085	P16234	Weight	0.1264218353208941
P01236	P16471	Weight	2.049145081637973
P01215	P16473	Weight	1.1086243444366006
P01562	P17181	Weight	1.1230508735554043
P01574	P17181	Weight	0.6725703226196373
P29597	P17181	Weight	0.8191332837830968
O15530	P17252	Weight	1.3419342927542377
P45983	P17535	Weight	1.8766425017756476
O15530	P17612	Weight	1.0417353825613553
P05556	P17612	Weight	0.6200502370112615
P28482	P17612	Weight	0.017704434688161047
Q99835	P17612	Weight	2.9926888643757485
P05198	P18848	Weight	-5.92026272236071
O43561	P19174	Weight	0.009848868549526175
P00533	P19174	Weight	0.009992785794442686
P04626	P19174	Weight	0.00993445980887447
P04629	P19174	Weight	0.010410217237886526
P08581	P19174	Weight	0.013963136939605061
P11362	P19174	Weight	0.010356407400741214
P16234	P19174	Weight	0.009727391563781794
P17252	P19174	Weight	0.010398269066877916
P17612	P19174	Weight	-0.019445311630652787
P22607	P19174	Weight	0.009834718483908341
P30530	P19174	Weight	0.009852688406907697
P35968	P19174	Weight	0.0099032731580576
P43405	P19174	Weight	0.01454181614062793
Q06187	P19174	Weight	0.01030106257172393
Q13094	P19174	Weight	0.014373423017763922
Q16288	P19174	Weight	0.010278964257359902
Q16620	P19174	Weight	0.009951430811952934
P28482	P19419	Weight	0.6478445449492216
P45983	P19419	Weight	1.506701753114122
Q16539	P19419	Weight	0.009965784613205386
P01374	P19438	Weight	0.6399345464073718
P01375	P19438	Weight	0.02261800872262416
O14920	P19838	Weight	-1.7519261105043586
O15111	P19838	Weight	0.2227858415885581
P20749	P19838	Weight	0.3034378399019587
Q9UHD2	P19838	Weight	1.3528578702550071
P01374	P20333	Weight	1.035205135266669
P01375	P20333	Weight	0.8307304576682197
Q9NQC7	P20749	Weight	-9.48309876355809
P29317	P20936	Weight	0.8151670510204908
P06241	P20963	Weight	0.009869631946004993
P29350	P20963	Weight	-0.016064278932769054
Q13153	P21333	Weight	0.010149658125855656
P05230	P21802	Weight	0.03397441082017948
O14511	P21860	Weight	0.4798318971357087
P04196	P21860	Weight	0.5970398178325736
Q02297	P21860	Weight	0.5295833260627939
P09038	P22607	Weight	0.010255626442132897
O14492	P22681	Weight	0.016440936902852737
P06213	P22681	Weight	2.004180212273688
P28482	P22736	Weight	0.6099323175489217
Q13164	P22736	Weight	1.5935531689279054
Q9Y243	P22736	Weight	-0.7147459558067328
O15530	P23443	Weight	0.13144516468809356
P28482	P23443	Weight	1.2962808298715305
P42345	P23443	Weight	0.6306453822891502
P00533	P23458	Weight	4.122762482716327
P04626	P23458	Weight	0.8865575457271537
P08069	P23458	Weight	0.10301487648304665
P15260	P23458	Weight	0.45445236625902374
P16234	P23458	Weight	1.0286196661907085
P17181	P23458	Weight	0.5230801305037142
P24394	P23458	Weight	0.022421730469145005
P29350	P23458	Weight	0.2467869085262143
P32927	P23458	Weight	0.4363364831440668
P40189	P23458	Weight	0.013519704040948273
