source	target	direction	stimulation	inhibition	sources	references
O15111	P19838	1	1	0	CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;IntAct;KEA;KEGG;MIMP;Macrophage;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SPIKE:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991
P45985	P45983	1	1	0	ACSN;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:11274345;ACSN:12624093;ACSN:12738796;ACSN:18855897;ACSN:21614932;ELM:12788955;ELM:23047924;ELM:26370088;HPRD-phos:16153436;HPRD-phos:18669648;HPRD:11062067;HPRD:9661668;HPRD:9808624;InnateDB:10713157;InnateDB:12788955;InnateDB:13130464;InnateDB:15998799;KEA:11062067;KEA:15755722;KEA:15911620;KEA:16153436;KEA:17192257;KEA:7839144;KEA:9312068;KEA:95141073;PhosphoSite:23416355;ProtMapper:10385525;ProtMapper:10499589;ProtMapper:10521444;ProtMapper:10748139;ProtMapper:10791986;ProtMapper:10958661;ProtMapper:10962008;ProtMapper:11062067;ProtMapper:11099046;ProtMapper:11389443;ProtMapper:11489946;ProtMapper:11847100;ProtMapper:12133933;ProtMapper:12354380;ProtMapper:12709432;ProtMapper:12917261;ProtMapper:14523011;ProtMapper:15068801;ProtMapper:16076903;ProtMapper:16282370;ProtMapper:16440308;ProtMapper:17143273;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7652575;ProtMapper:7992057;ProtMapper:8702918;ProtMapper:8805275;ProtMapper:8910292;ProtMapper:9108083;ProtMapper:9305638;ProtMapper:9448004;ProtMapper:9487126;ProtMapper:9724739;ProtMapper:9733714;ProtMapper:9860979;ProtMapper:9891069;SIGNOR:11062067;SIGNOR:21561061;SIGNOR:8974401;SIGNOR:9724739;SPIKE:15302099;SignaLink3:11062067;SignaLink3:11242034;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9207092;SignaLink3:9661668;SignaLink3:9808624;dbPTM:17192257;dbPTM:18083107;dbPTM:18669648;dbPTM:19369195;dbPTM:19534553;dbPTM:19690332;iPTMnet:11062067;iPTMnet:15911620;iPTMnet:16153436;iPTMnet:18669648;iPTMnet:7839144;iPTMnet:9724739;phosphoELM:15911620;phosphoELM:7839144
Q13009	P63000	1	1	0	ACSN;Adhesome;BioGRID;CA1;HPRD;KEGG;Lit-BM-17;SIGNOR;SPIKE;Wang	ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063
P01112	Q13009	1	1	0	ACSN;Adhesome;HPRD;InnateDB;KEGG;SPIKE;Wang	ACSN:12134164;ACSN:7673236;ACSN:9069260;Adhesome:12134164;Adhesome:16203995;HPRD:12134164;InnateDB:12134164;SPIKE:12134164;SPIKE:18568040
Q92851	P55957	1	1	0	HPRD;KEGG;SPIKE	HPRD:15772077;SPIKE:16186808
Q12967	P11233	1	1	0	CA1;KEGG;KEGG-MEDICUS;SPIKE;Wang	CA1:8094051;SPIKE:20478380
Q15311	P60953	1	0	1	CA1;KEGG;SPIKE;Wang	CA1:7623849;SPIKE:21686269
Q15311	P63000	1	0	1	CA1;HPRD;KEGG;SIGNOR;SPIKE;Wang	CA1:9395447;HPRD:7673236;SIGNOR:32203420;SPIKE:21686269
P10721	P62993	1	1	0	BioGRID;DIP;HPRD;InnateDB;IntAct;KEGG;KEGG-MEDICUS;Lit-BM-17;NetPath;PhosphoPoint;SIGNOR;SPIKE;Wang	BioGRID:17904548;BioGRID:7523859;DIP:8950973;HPRD:10377264;InnateDB:8647802;IntAct:10377264;IntAct:24728074;IntAct:7523381;Lit-BM-17:10022833;Lit-BM-17:10377264;Lit-BM-17:17452978;Lit-BM-17:17904548;Lit-BM-17:24728074;Lit-BM-17:7523381;Lit-BM-17:8647802;Lit-BM-17:8950973;NetPath:17904548;NetPath:8647802;SIGNOR:10377264;SIGNOR:17306385;SPIKE:10022833;SPIKE:10377264;SPIKE:16713569
Q14164	Q92985	1	1	0	KEGG;MIMP;Macrophage;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet	Macrophage:12692549;Macrophage:12702806;Macrophage:15210742;Macrophage:16127453;Macrophage:16199137;Macrophage:16625202;Macrophage:16914100;Macrophage:17706453;Macrophage:9786932;PhosphoSite:10893229;PhosphoSite:25225665;ProtMapper:10893229;ProtMapper:22787218;ProtMapper:26712804;SIGNOR:10893229;SPIKE:16380379;dbPTM:15367631;iPTMnet:10893229
P04626	P62993	1	1	0	DOMINO;HPRD;IntAct;KEGG;Li2012;Lit-BM-17;PhosphoPoint;SIGNOR;SPIKE;Wang	DOMINO:16273093;DOMINO:16729043;HPRD:11173924;HPRD:11606575;HPRD:16729043;IntAct:16273093;IntAct:16729043;IntAct:21278786;IntAct:24658140;Lit-BM-17:11606575;Lit-BM-17:16273093;Lit-BM-17:16729043;Lit-BM-17:17875712;Lit-BM-17:24189400;Lit-BM-17:24658140;Lit-BM-17:9710588;Lit-BM-17:9756944;SIGNOR:14967450;SIGNOR:17306385;SPIKE:11173924;SPIKE:16273093;SPIKE:16713569
Q15382	P42345	1	1	0	ACSN;ARN;BioGRID;HPRD;InnateDB;KEGG;KEGG-MEDICUS;PhosphoPoint;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;SignaLink3;Sparser_ProtMapper;Wang	ACSN:12906785;ACSN:15854902;ACSN:16636147;ACSN:17604271;ACSN:18466115;ACSN:19143635;ACSN:19299511;ARN:15854902;ARN:15878852;ARN:16098514;ARN:17470430;ARN:18550814;BioGRID:15772076;BioGRID:15878852;BioGRID:16098514;HPRD:15854902;HPRD:15878852;HPRD:16098514;HPRD:16631613;InnateDB:15854902;InnateDB:15878852;InnateDB:16098514;InnateDB:17470430;InnateDB:18550814;ProtMapper:18670866;ProtMapper:19487463;ProtMapper:23272152;SIGNOR:15854902;SIGNOR:20006481;SPIKE:15854902;SPIKE:16098514;SPIKE:18075516;SignaLink3:15854902;SignaLink3:20226003;SignaLink3:21071413;SignaLink3:23331499
P49815	Q15382	1	0	1	ACSN;ARN;BioGRID;HPRD;InnateDB;KEGG;SIGNOR;SPIKE;SignaLink3;Wang	ACSN:16636147;ACSN:17680028;ACSN:20146692;ARN:12906785;ARN:15854902;BioGRID:12771962;BioGRID:12820960;BioGRID:12869586;HPRD:12842888;InnateDB:15854902;SIGNOR:15340059;SPIKE:12771962;SPIKE:12869586;SignaLink3:12842888;SignaLink3:15854902;SignaLink3:20226003;SignaLink3:21071413;SignaLink3:23331499
O15519	Q92851	1	0	1	HPRD;IntAct;KEGG;Lit-BM-17;NetPath;SPIKE;Wang	HPRD:9208847;HPRD:9228018;HPRD:9289491;IntAct:23541952;IntAct:25241761;Lit-BM-17:12887920;Lit-BM-17:21737330;Lit-BM-17:23541952;Lit-BM-17:25241761;Lit-BM-17:9228018;Lit-BM-17:9289491;NetPath:12887920;SPIKE:9228018;SPIKE:9289491
Q14790	P42574	1	1	0	ACSN;CA1;DIP;HPRD;HPRD-phos;InnateDB;KEGG;KEGG-MEDICUS;Macrophage;SIGNOR;SPIKE;Wang	ACSN:15755874;ACSN:23308069;ACSN:9765224;CA1:8962078;DIP:18669646;HPRD-phos:11437602;HPRD:11437602;InnateDB:15014070;InnateDB:17179148;InnateDB:18458084;InnateDB:9208847;Macrophage:9501089;Macrophage:9765224;Macrophage:9885230;Macrophage:9950028;SIGNOR:16964285;SIGNOR:21295084;SPIKE:11437602;SPIKE:9765224;SPIKE:9922454
Q92851	P42574	1	1	0	HPRD;InnateDB;KEGG;SPIKE;Wang	HPRD:8755496;InnateDB:8755496;SPIKE:11717445;SPIKE:9765224;SPIKE:9922454
P45983	P10415	1	0	1	ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:10677502;ACSN:11323415;ACSN:9115213;ACSN:9738012;HPRD-phos:10567572;HPRD-phos:12039864;HPRD-phos:15225643;HPRD:10567572;HPRD:12039864;HPRD:15225643;InnateDB:15733859;KEA:10567572;KEA:11323415;KEA:12039864;KEA:15225643;PhosphoSite:10567572;PhosphoSite:12421819;PhosphoSite:15703383;PhosphoSite:16738310;PhosphoSite:17097560;ProtMapper:10567572;ProtMapper:11323415;ProtMapper:18570871;ProtMapper:20919655;ProtMapper:21726807;ProtMapper:21993018;ProtMapper:22848813;ProtMapper:23329792;ProtMapper:26609913;ProtMapper:29950132;SIGNOR:10567572;SIGNOR:18570871;SPIKE:18471544;SPIKE:18570871;SPIKE:19029119;dbPTM:18570871;iPTMnet:10567572;iPTMnet:12039864;iPTMnet:15225643;iPTMnet:18570871;phosphoELM:10567572
