NCBI gene (formerly Entrezgene) ID	Gene name
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
4535	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
4536	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
4512	MT-CO1
113219467	MT-TS1
	MT-TD
4513	MT-CO2
	MT-TK
4509	MT-ATP8
4508	MT-ATP6
4514	MT-CO3
	MT-TG
4537	MT-ND3
	MT-TR
4539	MT-ND4L
4538	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
4540	MT-ND5
4541	MT-ND6
	MT-TE
4519	MT-CYB
	MT-TT
	MT-TP
84771	DDX11L1
727856	DDX11L1
100287102	DDX11L1
100287596	DDX11L1
102725121	DDX11L1
653635	WASH7P
102466751	MIR6859-1
	MIR1302-2HG
100302278	MIR1302-2
645520	FAM138A
	OR4G4P
	OR4G11P
79501	OR4F5
	AL627309.1
	AL627309.3
	CICP27
	AL627309.6
	AL627309.7
	AL627309.2
	AL627309.5
	RNU6-1100P
	AL627309.4
	FO538757.1
102723897	WASH9P
102465909	MIR6859-2
	AP006222.1
	AP006222.2
	RPL23AP24
	AL732372.1
	AL732372.2
	WBP1LP7
729759	OR4F29
	CICP7
	AL732372.3
	U6
101928626	AL669831.3
	AC114498.1
	MTND1P23
	MTND2P28
	MTCO1P12
	AC114498.2
	MTCO2P12
	MTATP8P1
	MTATP6P1
	MTCO3P12
	WBP1LP6
81399	OR4F16
	CICP3
	AL669831.1
	RNU6-1199P
	AL669831.2
105378580	LINC01409
	AL669831.6
	AL669831.4
400728	FAM87B
643837	LINC01128
79854	LINC00115
107984850	AL669831.7
284593	FAM41C
	TUBB8P11
	AL669831.5
	AL645608.6
	AL645608.2
	AL645608.4
100130417	LINC02593
148398	SAMD11
26155	NOC2L
339451	KLHL17
84069	PLEKHN1
84808	PERM1
	AL645608.7
57801	HES4
9636	ISG15
	AL645608.3
	AL645608.1
375790	AGRN
	AL645608.5
100288175	AL390719.1
	AL645608.8
401934	RNF223
54991	C1orf159
	AL390719.3
254099	LINC01342
406984	MIR200B
406983	MIR200A
554210	MIR429
	AL390719.2
100506376	TTLL10-AS1
254173	TTLL10
8784	TNFRSF18
7293	TNFRSF4
51150	SDF4
126792	B3GALT6
388581	C1QTNF12
	AL162741.1
118424	UBE2J2
	LINC01786
6339	SCNN1D
116983	ACAP3
102465434	MIR6726
126789	PUSL1
54973	INTS11
102465435	MIR6727
	AL139287.1
80772	CPTP
83756	TAS1R3
1855	DVL1
102466740	MIR6808
54587	MXRA8
54998	AURKAIP1
	NDUFB4P8
81669	CCNL2
148413	MRPL20-AS1
55052	MRPL20
	RN7SL657P
	MRPL20-DT
441869	ANKRD65
	AL391244.1
643965	TMEM88B
	LINC01770
64856	VWA1
219293	ATAD3C
83858	ATAD3B
	AL645728.2
55210	ATAD3A
339453	TMEM240
29101	SSU72
	AL645728.1
	AL691432.3
643988	FNDC10
	AL691432.4
	AL691432.2
142678	MIB2
8510	MMP23B
984	CDK11B
	FO704657.1
728661	SLC35E2B
	AL691432.1
	MMP23A
728642	CDK11A
	AL031282.2
	AL031282.1
9906	SLC35E2A
65220	NADK
2782	GNB1
	AL109917.1
163688	CALML6
339456	TMEM52
85452	CFAP74
	AL391845.2
2563	GABRD
	AL391845.1
5590	PRKCZ
	AL590822.2
100506504	PRKCZ-AS1
199990	FAAP20
	AL590822.1
6497	SKI
	AL590822.3
79906	MORN1
	AL589739.1
100129534	AL513477.1
	AL513477.2
11079	RER1
5192	PEX10
9651	PLCH2
	AL139246.1
	AL139246.4
55229	PANK4
388585	HES5
	AL139246.5
	TNFRSF14-AS1
8764	TNFRSF14
	AL139246.2
	AL139246.3
127281	PRXL2B
79258	MMEL1
	MMEL1-AS1
100287898	TTC34
	AC242022.2
	AC242022.1
	AL592464.2
	AL592464.3
	AL592464.1
	AL589702.1
140625	ACTRT2
440556	PRDM16-DT
63976	PRDM16
100422968	MIR4251
	AL008733.1
	AL512383.1
	AL590438.1
	AL354743.2
	AL354743.1
27237	ARHGEF16
	AL512413.1
1953	MEGF6
693135	MIR551A
	AL513320.1
127262	TPRG1L
49856	WRAP73
7161	TP73
	AL136528.1
	TP73-AS2
57212	TP73-AS1
	AL136528.2
148870	CCDC27
388588	SMIM1
57470	LRRC47
	RN7SL574P
	AL365330.1
9731	CEP104
1677	DFFB
339448	C1orf174
100133612	LINC01134
	LINC01346
105376672	LINC01345
105376673	LINC02780
	AL805961.1
	EEF1DP6
284661	LINC01777
	AL355602.1
	Z98747.1
	LINC01646
55966	AJAP1
	Z98886.1
	BX005132.1
105376680	LINC02781
	LINC02782
	AL139823.1
	Z98259.3
	Z98259.2
	Z98259.1
	Z97988.2
	AL365255.1
	Z97988.1
