	0.75	0.9	0.91	0.92	0.93	0.94	0.95
50	700.0	900.0	950.0	1000.0	1050.0	1150.0	1300.0
100	750.0	1250.0	1300.0	1500.0	1650.0	1850.0	2150.0
200	800.0	1400.0	1600.0	1700.0	1800.0	2050.0	2700.0
500	850.0	1500.0	1800.0	1900.0	2550.0	3050.0	3950.0
1000	850.0	1650.0	1750.0	1900.0	2100.0	2450.0	3150.0
2000	900.0	1650.0	2000.0	2250.0	3600.0	4300.0	5200.0
5000	850.0	1650.0	1850.0	2050.0	2250.0	2850.0	4200.0
10000	850.0	1500.0	1700.0	1900.0	2150.0	2600.0	3750.0
20000	850.0	1600.0	1750.0	1850.0	2100.0	2800.0	4350.0
