	A	B	C	D	E
0	0.928885748456953	0.7079469869310294	0.5047241758702582	0.4675234502546144	0.4220298472611175
1	0.95931129663352	0.7183767576864852	0.5145612128076456	0.47756768586029796	0.43161313729821416
2	0.9489333106085271	0.7149039645087929	0.511329464847931	0.47426786721244996	0.42846475245205884
3	0.838073821463097	0.6716521428867569	0.4691739191334131	0.43122439427056236	0.38739661132117775
4	0.9482384577669563	0.7146683836077774	0.5111086763230153	0.4740424281928143	0.42824965917909497
5	0.9427892853880352	0.7128073253542235	0.5093574371900023	0.47225430250356104	0.4265435933543147
6	0.9125349428990719	0.7020163763502216	0.4989529298863844	0.46163064383644725	0.41640747087980223
7	0.9444598465104428	0.7133804481818589	0.5098980760645373	0.4728063289184241	0.4270702864198157
8	0.9584218561979587	0.7180824418341922	0.5142889840395264	0.47728972310555406	0.4313479306859048
9	0.4266981661837792	0.33275547121962	0.13680894631547955	0.09185877886131744	0.06360501096840149
10	0.9215532956337089	0.7053168861838689	0.5021802787293808	0.4649259707084632	0.41955157008469324
11	0.03238690033248279	-0.0007809648575820584	-0.0019029910099952016	-0.0004977486434709336	-0.0002451313207840872
12	0.09810544464103219	-9.621159595234866e-05	-0.0018962754527703705	-0.0004976800733929527	-0.000245130666551181
13	0.9314487561231745	0.7088552814186964	0.5055966712380551	0.46841432309516584	0.4228798365636728
14	0.814368996039693	0.6606435130542454	0.4583774632784583	0.42020053139358426	0.3768786506294268
15	0.8928205158515548	0.6945374245925715	0.49161812312829534	0.45414134317921373	0.4092618658590801
16	0.9605763246425261	0.7187942984905518	0.514946895918476	0.47796149265994414	0.43198887169232325
17	0.5520798984662048	0.46339675524758184	0.2649323256371302	0.22268083602081964	0.1884234407849764
18	0.9436369417939251	0.7130984187245006	0.509632180693546	0.47253483296189813	0.4268112498343124
19	0.8308748026341191	0.6683851542309551	0.4659698965313601	0.4279528849628518	0.3842752366555823
20	0.9181787222037083	0.7040904660920686	0.5009851001436592	0.46370561793534004	0.4183872211952868
21	0.8048459471298848	0.6560102837413112	0.45383353215314726	0.4155608909114834	0.3724519304534616
22	0.9549772199142358	0.7169367835493836	0.5132263884325459	0.47620474592207795	0.4303127447901258
23	0.9011737234785648	0.6977516870566317	0.49477043575279445	0.45736005333601915	0.4123328644087917
24	0.9467904368921024	0.7141761975834151	0.5106467507353952	0.4735707730121048	0.42779964898701217
25	0.8616328778979403	0.6819075202691578	0.4792316402912272	0.44149396239441496	0.3971948930172895
26	0.938137464096559	0.7111992706014865	0.5078341370730283	0.47069891693670396	0.4250595868463162
27	0.9452590680663434	0.7136538305775114	0.510155543961345	0.47306921989188455	0.4273211129182882
28	0.7375180710106264	0.6192586560391757	0.4177902341114581	0.37875840863547905	0.3373383712358252
29	0.9588713845755001	0.7182312676260201	0.5144266792734402	0.4774303186304071	0.43148207406380623
30	0.7693479282627553	0.6375649762308884	0.43574372885362844	0.39709005995320346	0.3548287546092769
31	0.9419157435031918	0.7125067239885559	0.5090733964255607	0.47196427895502413	0.42626687943676744
32	0.8230058836764527	0.6647389728041588	0.4623939895009226	0.42430165818121546	0.3807915703405631
33	0.695496799128954	0.5920563598847759	0.3911122193128277	0.3515184716671703	0.3113485172730387
34	0.4924167104923287	0.40123079738259115	0.20396451856379202	0.16042885684210662	0.12902830159535625
35	0.9349646365176918	0.71009210914124	0.50677982004589	0.4696223927057729	0.42403246598396427
36	-0.0016476873259316542	-0.001135587668426786	-0.001906468890149858	-0.0004977841548224757	-0.000245131659600892
37	0.6374564577795645	0.5473922963945949	0.3473089852036625	0.30679260487580073	0.26867518995884165
38	0.9199015361203393	0.704717860543963	0.5015972286033215	0.4643306397288869	0.4189835597681968
39	0.956018295558353	0.7172840175547905	0.5135489379292639	0.4765340893168575	0.4306269741051161
40	0.856410060438511	0.6796896538690484	0.47705651976803076	0.4392730270513029	0.3950758798457308
41	0.8507774947395645	0.6772628630647396	0.47467650152901675	0.4368428782076379	0.39275725430602537
42	0.22954253325813098	0.1273294927307071	-0.0006465777042945742	-0.0004849198705986782	-0.00024500892037844035
43	0.9391273785159404	0.7115429735234455	0.5081605189496163	0.47103217343322235	0.4253775496847302
44	0.8864203674548307	0.6920280506690468	0.4891571134294409	0.45162849694304497	0.406864338038625
45	0.9301907692234243	0.7084101752988776	0.5051694927695238	0.4679781469162094	0.42246367718686106
46	0.9579623927025528	0.7179301642603764	0.5141480143250479	0.47714578412936637	0.43121059729284206
